query,accuracy
pos64691_61931_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/15884/0_7661,0%
pos92920_88869_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/159330/0_4665,13.33%
pos221843_213800_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/159931/0_8507,28.57%
pos127296_122589_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/161057/0_10389,0%
pos114900_120845_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/161068/0_10203,25.86%
pos93686_85904_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/16138/392_8853,20.00%
pos254650_260902_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/16274/0_11474,29.41%
pos87195_84978_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/1646/7921_14707,20.00%
pos243643_238991_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/17004/4746_15223,0%
pos272180_273815_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/17034/2596_6908,9.09%
pos185820_187544_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/17548/7445_14512,16.67%
pos117988_114899_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/18053/8321_14399,0%
pos59225_55757_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/18410/218_5876,7.32%
pos209095_205692_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/2051/2215_9940,17.39%
pos85094_72488_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/20937/0_14980,33.33%
pos277494_278147_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/21181/4203_9915,53.33%
pos226359_229436_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/21398/0_7068,18.75%
pos149314_152468_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/2204/2605_5938,50.00%
pos144750_140447_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/22467/2154_18023,0%
pos277287_275297_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/22688/1727_6680,0%
pos278147_277499_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/22742/0_3426,0%
pos277506_278142_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/23581/0_3795,6.77%
pos112258_110650_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/24090/0_3220,0%
pos204461_208718_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/24488/0_4561,40.00%
pos87196_80814_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/25889/0_9564,21.43%
pos192187_195192_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/26297/7852_11351,44.44%
pos236857_225671_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/2642/0_12020,0%
pos238960_243644_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/26739/0_6476,46.67%
pos157835_156209_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/27113/3404_8152,0%
pos199536_207383_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/27323/4818_13259,42.86%
pos220946_217679_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/27504/558_3886,0%
pos222437_216154_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/27552/0_6594,50.00%
pos280636_283199_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/2771/0_6085,12.50%
pos198513_197980_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/27884/3530_15435,0%
pos228091_225672_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28013/661_5605,0%
pos72111_67239_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28028/0_5900,0%
pos104593_106565_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28/0_3096,10.96%
pos162552_158040_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28525/0_7806,0%
pos274128_277341_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/28734/0_6517,15.00%
pos111255_114782_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/29521/0_7577,13.64%
pos40248_43976_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/29707/2599_7619,46.43%
,0%
pos233208_236854_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/30148/0_9156,25.00%
pos81919_84193_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/31084/2258_11707,12.50%
pos26276_29822_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/31115/0_4256,28.57%
pos113878_112758_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/31290/332_7572,0%
pos45840_41463_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/31555/0_8563,0%
pos224849_221117_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/32433/2415_7769,0%
pos158163_161185_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33019/0_4285,46.67%
pos59248_55742_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33031/0_9402,7.81%
pos79594_86834_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33041/0_9393,27.27%
pos97727_97886_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33043/3583_16463,0.00%
pos113607_114783_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33725/720_5467,8.33%
pos277341_276397_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/33878/1360_4731,0%
pos35905_28093_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/34167/0_10062,0%
pos197674_197115_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/34259/0_8838,0%
pos210365_211474_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/34845/779_8344,50.00%
pos40248_47119_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/3534/0_8715,29.03%
pos77202_84318_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/35341/0_7414,19.05%
pos24465_19188_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/3643/0_10238,0%
pos133064_136120_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/37259/374_4913,9.09%
pos263729_268508_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/37307/0_10291,33.33%
pos26272_28997_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/37437/0_6734,29.63%
pos267878_272695_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/38444/1558_6531,57.14%
pos66869_61640_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/38561/9893_16905,0.00%
pos82935_82705_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/3858/3971_13290,0%
pos64739_61289_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/38773/0_5808,9.30%
pos277544_278134_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/39062/4460_8837,7.48%
pos44175_47654_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/39528/441_5501,12.50%
pos74594_78268_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/39596/5690_9846,9.52%
pos50892_55002_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/39763/0_4573,20.00%
pos250153_253043_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/39842/7998_11554,0.00%
pos175129_175340_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/40218/3162_15562,0.00%
pos80270_73737_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/40375/0_7068,0%
pos244738_244195_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/41384/6450_10726,0%
pos245793_247908_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/4157/0_6064,8.06%
pos110062_114253_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/41624/0_4439,14.81%
pos270954_269617_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/42467/0_3872,0%
pos99918_103871_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/42931/7118_12099,50.00%
pos64729_61289_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/43687/0_6848,13.79%
pos85930_82181_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/43730/0_3716,0%
pos170394_174571_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/43757/0_4446,40.00%
pos153118_144942_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/43808/0_8449,11.76%
pos137109_140134_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/43957/0_4750,24.00%
pos67363_77955_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/44311/0_10559,24.07%
pos50917_44567_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/4482/0_12658,13.33%
pos209515_217115_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/44887/0_10075,25.00%
pos162123_163654_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/44902/401_4496,16.67%
pos63691_66527_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/4532/0_8696,26.67%
pos185917_181244_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/45427/0_4635,0%
pos241542_243322_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/45637/348_4107,23.08%
pos89055_86829_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/4633/6464_13747,0%
pos32547_26280_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/46893/0_7400,0%
pos105200_105254_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/46985/0_8905,0%
pos230534_235817_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/47815/0_9700,17.39%
pos42490_40250_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/49264/0_11618,19.05%
pos262546_258081_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/49275/164_4832,0%
pos18091_14749_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/49852/529_3874,0%
pos187103_198824_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/50758/0_11999,33.33%
pos270232_276384_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/50795/1770_9434,58.82%
pos132094_131466_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/52524/0_5328,0%
pos184580_187197_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/53137/2574_5694,25.00%
pos134147_136549_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/5331/355_5137,21.21%
pos21017_24099_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/53442/0_3142,100.00%
pos230330_225670_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/53701/0_7044,0%
pos109191_114479_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/54376/0_5082,11.76%
pos75148_78146_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/55338/581_10785,12.24%
pos94964_90782_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/5546/0_4448,0%
pos146097_142167_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/55681/0_18764,0%
pos98857_101947_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/5616/7371_10752,42.86%
pos73516_66970_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/56388/0_6833,0%
pos272764_274838_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/56581/0_3762,40.00%
pos189438_186407_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/56804/0_6820,0%
pos31024_33111_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57015/1829_5817,33.33%
pos241218_243644_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57530/0_6286,18.75%
pos85714_85296_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57649/5288_11355,0.00%
pos134982_138118_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57791/0_5714,21.05%
pos98821_94688_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/58416/917_5307,0%
pos147142_141041_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/58715/6702_14068,0.00%
pos107521_108545_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/58782/12784_16810,8.57%
pos235814_227454_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/58877/0_8532,0%
pos78594_74057_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/59077/0_4791,12.50%
pos21263_17527_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/59105/7231_15955,0%
pos135907_140158_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/59556/0_5921,8.70%
pos272967_275131_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/59633/13150_19587,23.53%
pos234421_235553_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/60512/1497_8554,50.00%
pos62305_65809_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/60587/3558_7864,0.00%
pos37733_40140_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/60862/3754_10021,46.15%
pos267185_273729_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/61417/0_7413,33.33%
pos178228_174009_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/61530/4046_8846,0%
pos95900_92710_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/61737/6619_18938,0%
pos243973_245570_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/62143/0_5639,15.38%
pos26280_29456_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/62200/0_3387,50.00%
pos111260_106772_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/62756/0_10262,0%
pos145929_144447_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/63200/7459_11443,0%
pos112940_109733_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/63476/0_3274,50.00%
pos217486_224847_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/63974/0_13492,23.53%
pos18566_17440_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/64619/2006_5798,0%
pos46639_44582_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/66238/0_4878,0%
pos140447_144779_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/66309/7671_12982,8.33%
pos164828_156300_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/6791/0_8704,0%
pos244604_244936_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/67971/0_3174,15.38%
pos140099_138650_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/68478/0_7698,0%
pos209515_216437_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/69067/4437_15977,20.00%
pos121887_127164_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/69447/0_11791,33.33%
pos277492_278142_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/69467/0_5999,3.96%
pos94992_92985_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/69590/0_7726,0%
pos238165_241952_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/70066/4277_8206,70.00%
pos195826_201732_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/70226/0_5874,60.00%
pos246027_247908_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/71059/0_14450,20.00%
,0%
pos240570_243632_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/71779/0_7860,17.31%
pos51321_55441_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/72484/0_4151,100.00%
pos127120_121603_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/73180/0_5846,0%
pos155344_146743_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/73673/0_9049,33.33%
pos214520_220664_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/73733/0_6276,20.00%
pos46727_43473_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/7392/0_3441,0%
pos116862_114898_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/7420/0_3692,10.00%
pos192289_182977_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/74217/2234_11589,0%
pos37813_38297_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/74513/5483_17423,25.00%
pos37733_38877_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/74725/4615_20489,17.24%
pos69205_72514_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/74787/8151_15596,0.00%
pos161091_150280_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/75175/583_11543,0%
pos225672_226240_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/75453/637_3786,14.29%
pos185921_188827_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/75487/0_3061,14.29%
pos258062_260337_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/75696/0_3038,33.33%
pos236837_240025_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/76392/3494_15195,23.08%
pos106672_104688_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/76771/559_11467,17.65%
pos100426_96055_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/78171/0_4863,0%
pos243643_238564_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/783/0_6042,0%
pos87943_87425_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/79005/831_9009,0%
,0%
pos75933_80808_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/79418/6594_16395,12.12%
pos237184_242566_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/7988/0_8816,50.00%
pos146532_140452_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/80151/2874_14148,0.00%
pos152287_147615_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/80183/5910_13224,100.00%
pos205816_202129_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/80569/4441_9712,0%
pos283432_280801_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/81412/0_5226,0%
pos245674_243973_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/81839/8213_15603,0%
pos70650_74354_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/83290/4993_11561,40.00%
pos224849_216989_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/84156/0_9671,0%
pos257703_261810_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/84851/0_10771,66.67%
pos71510_68100_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/84892/9877_18623,0%
pos135845_133070_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/85077/1355_8622,0%
pos280654_283126_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/85241/0_5362,12.90%
pos37629_36325_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/86403/0_5328,17.39%
pos82550_81091_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/86407/3922_11965,0%
pos272837_276966_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/8655/0_4308,45.45%
pos276488_277285_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/86707/0_3921,18.92%
pos59831_55759_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/87480/0_8624,7.02%
pos264061_270144_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/87583/0_6433,0.00%
pos266833_264268_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/88454/3900_8091,0%
pos117146_116287_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/88721/2098_6734,0%
pos161536_165680_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/88772/0_12520,15.38%
pos233778_229884_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/89060/0_10018,0%
pos238328_237591_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/89339/0_3183,0%
pos91152_92500_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/90333/6748_12008,10.00%
pos253046_250159_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/90414/6497_15736,0%
pos177961_190396_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/9066/2105_15695,28.00%
pos155686_147383_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/90787/0_8564,0%
pos46261_43271_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/90792/13562_17278,0%
pos39164_40144_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/9168/821_5075,30.77%
pos219783_209515_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/91859/0_12938,0%
pos185661_180691_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/92225/0_5030,0%
pos126388_120634_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/92795/919_6920,0%
,0%
pos118381_119471_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/93070/2775_6442,6.67%
pos155295_154301_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/93414/6116_16256,0%
pos280639_283429_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/93771/1115_7266,28.57%
pos99205_94643_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/93922/4164_10762,0%
pos47528_45266_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/94259/9768_12875,0%
pos27789_33668_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/94288/0_6101,66.67%
pos65446_66870_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/94357/3540_8562,33.33%
pos224838_222124_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/94477/0_13292,25.00%
pos236843_242332_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/9502/315_11049,18.18%
pos158848_155034_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/96717/1360_8737,0%
pos280636_283432_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/97199/3843_11991,9.26%
pos253020_250150_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/97458/0_7259,0%
pos106895_114787_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/97872/0_9362,32.35%
pos274427_274897_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/98810/406_5933,10.00%
pos204638_203658_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/99768/299_5373,0%
pos44231_46378_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10003/1932_5942,57.14%
pos93798_98143_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10105/0_4639,15.38%
pos97022_100486_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10124/148_3830,20.00%
pos121645_114910_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10267/7315_15323,0%
pos133971_139951_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10325/3574_9719,12.50%
pos142999_146457_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/1054/0_3706,60.00%
pos192680_187536_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11093/0_5449,0%
pos40248_44152_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11100/0_4024,61.54%
pos33387_26313_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11145/0_7349,0%
pos201919_196761_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11647/1933_12721,14.29%
pos209047_205322_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11649/0_7247,0%
pos277341_275227_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11657/266_7818,14.29%
pos102565_97142_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11715/2841_13900,0%
pos151649_146707_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/11803/12041_17428,33.33%
pos152269_159647_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/12218/5054_13019,9.09%
pos240313_243644_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/12637/0_12223,11.11%
pos243973_245672_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/12787/0_6273,8.33%
pos156821_157345_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/13189/11718_19523,28.57%
pos100556_104404_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/13285/662_10121,15.38%
pos151851_140447_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/13317/0_15567,0.00%
pos11340_4851_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/14670/571_15716,0%
pos233347_227353_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/15826/903_8211,0%
pos80045_78124_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/16119/4878_8089,83.33%
pos91202_94275_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/16127/0_3407,7.69%
pos154280_149594_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/16448/0_4801,0%
pos240639_237388_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/16710/0_3381,0%
pos167348_170372_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/17735/1219_7164,14.29%
pos35921_33714_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/17826/0_7832,12.50%
pos106870_114791_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18097/0_8163,24.24%
pos206886_202916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18420/12410_18182,0.00%
pos31517_35921_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18826/207_13063,27.59%
pos103699_95912_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18839/0_8451,0%
pos148469_140447_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18844/0_9391,0%
pos77153_77933_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/18957/0_3157,4.35%
pos51077_42497_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/1907/0_9033,0%
pos49413_46233_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/19432/12499_18201,0%
pos271485_277106_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20022/0_7043,12.50%
pos40248_48992_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20115/0_11611,27.27%
pos137778_133069_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20584/9074_16342,0%
pos236842_243644_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20756/0_8473,33.33%
pos89529_91781_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20973/0_9194,15.00%
pos175092_169295_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2098/0_8827,0%
pos276250_277341_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/21617/0_9605,8.33%
pos55639_50259_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22106/2197_10015,13.33%
pos74919_66970_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22153/1035_10926,0%
pos243976_245691_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22261/2653_5790,14.29%
pos259230_254650_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22319/0_5742,0%
pos182842_176818_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22363/0_6411,0%
pos35921_26280_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22806/0_14473,25.00%
pos93702_99257_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/232/0_5368,22.22%
pos223905_221643_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2323/4960_8095,0%
pos96915_88849_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23541/0_8100,0%
pos281085_283432_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23649/0_5287,19.23%
pos263654_261534_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/23960/0_9046,0%
pos73257_69322_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24193/0_4098,0%
pos149074_154607_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24484/6880_12825,40.00%
pos32468_29194_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/24761/670_7690,0%
pos109652_112272_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2508/0_4990,33.33%
pos270143_269573_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25098/14927_19212,0%
pos93514_98270_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25104/0_4550,22.22%
pos95381_90357_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25212/0_5111,0%
pos85769_87637_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/2558/0_3459,0.00%
pos157101_161302_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25604/0_4302,100.00%
pos196108_199452_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25824/381_9011,11.11%
